CustomerID,Customer Name ,Phone,City
CUST0001,Radha Krishnan  ,9228079044,Chennai
CUST0002,Ananya Verma  ,9523505839,Kolkata
CUST0003,Ashwin Kulkarni  ,9834622821,Bangalore
CUST0004,Sanjana Kulkarni  ,9648321723,Kolkata
CUST0005,Deepika Thomas  ,9224013864,Kolkata
CUST0006,Mohit Sharma  ,9864302756,Delhi
CUST0007,Rakesh Reddy  ,9868516428,Bangalore
CUST0008,Shruti Mehta  ,9907345600,Bangalore
CUST0009,Vinay Agarwal  ,9424203480,Bangalore
CUST0010,Ankit Roy  ,9774053145,Kolkata
CUST0011,Kritika Jain  ,9881358233,Chennai
CUST0012,Abhishek Mehta  ,9827740589,Bangalore
CUST0013,Swathi Reddy  ,9913806906,Kolkata
CUST0014,Neha Patil  ,9766510668,Delhi
CUST0015,Dinesh P  ,9331482147,Chennai
CUST0016,Rekha S  ,9856905502,Delhi
CUST0017,Vignesh M  ,9670590774,Chennai
CUST0018,Harini Prasad  ,9276650798,Kolkata
CUST0019,Harsha Balan  ,9485191144,Mumbai
CUST0020,Pranav Krishnan  ,9549637194,Chennai
CUST0021,Amit Kumar  ,9566366679,Delhi
CUST0022,Rohit Singh  ,9256855924,Kolkata
CUST0023,Aditya Deshmukh  ,9449647540,Chennai
CUST0024,Manish Joshi  ,9364199399,Mumbai
CUST0025,Arjun Nair  ,9261490473,Mumbai
CUST0026,Bhavana Shah  ,9684907473,Bangalore
CUST0027,Vandana R  ,9600237059,Bangalore
CUST0028,Riya Sharma  ,9795469177,Delhi
CUST0029,Jeevan T  ,9228079044,Chennai
CUST0030,Rahul Jain  ,9523505839,Kolkata
CUST0031,Pradeep R  ,9834622821,Bangalore
CUST0032,Pooja Desai  ,9648321723,Kolkata
CUST0033,Isha Kapoor  ,9224013864,Kolkata
CUST0034,Saurabh Shah  ,9864302756,Delhi
CUST0035,Chitra Pillai  ,9868516428,Bangalore
CUST0036,Sakshi Agarwal  ,9907345600,Bangalore
CUST0037,Pallavi Singh  ,9424203480,Bangalore
CUST0038,Raj Verma  ,9774053145,Kolkata
CUST0039,Nisha Balan  ,9881358233,Chennai
CUST0040,Akshay Patil  ,9827740589,Bangalore
CUST0041,Deepak Rao  ,9913806906,Kolkata
CUST0042,Meera Joshi  ,9766510668,Delhi
CUST0043,Aishwarya Iyer  ,9331482147,Chennai
CUST0044,Priya Deshmukh  ,9856905502,Delhi
CUST0045,Siddharth Menon  ,9670590774,Chennai
CUST0046,Divya Rao  ,9276650798,Kolkata
CUST0047,Nikhil Kapoor  ,9485191144,Mumbai
CUST0048,Suraj Pillai  ,9549637194,Chennai
CUST0049,Aditi Menon  ,9566366679,Delhi
CUST0050,Trisha Sen  ,9256855924,Kolkata
CUST0051,Naveen Thomas  ,9449647540,Chennai
CUST0052,Simran Kaur  ,9364199399,Mumbai
CUST0053,Gayathri M  ,9261490473,Mumbai
CUST0054,Vishal Bhatt  ,9684907473,Bangalore
CUST0055,Kavya Nair  ,9600237059,Bangalore
CUST0056,Karan Sinha  ,9795469177,Delhi
CUST0057,Gaurav S  ,9946462888,Chennai
CUST0058,Sneha Bhatt  ,9746291026,Delhi
CUST0059,Sameer Iyer  ,6789253940,Mumbai
CUST0060,Tanya Sinha  ,6538304847,Bangalore
